FlatType;Area_m2;Section;FloorNum;StoreyName;FlatNumber
2С;67.01625;NS8;2;тб1_с1_э2;1.2.1
2С;50.507999999999996;NS8;2;тб1_с1_э2;1.2.2
0С;22.33875;NS8;2;тб1_с1_э2;1.2.3
0С;33.20625;NS8;2;тб1_с1_э2;1.2.4
1С;33.81;NS8;2;тб1_с1_э2;1.2.5
0С;22.33875;NS8;2;тб1_с1_э2;1.2.6
1С;50.507999999999996;NS8;2;тб1_с1_э2;1.2.7
1С;44.6775;NS8;2;тб1_с1_э2;1.2.8
2С;67.01625;NS8;3;тб1_с1_э3;1.3.1
2С;50.507999999999996;NS8;3;тб1_с1_э3;1.3.2
0С;22.33875;NS8;3;тб1_с1_э3;1.3.3
0С;33.20625;NS8;3;тб1_с1_э3;1.3.4
1С;33.81;NS8;3;тб1_с1_э3;1.3.5
0С;22.33875;NS8;3;тб1_с1_э3;1.3.6
1С;50.507999999999996;NS8;3;тб1_с1_э3;1.3.7
1С;44.6775;NS8;3;тб1_с1_э3;1.3.8
2С;67.01625;NS8;4;тб1_с1_э4;1.4.1
2С;50.507999999999996;NS8;4;тб1_с1_э4;1.4.2
0С;22.33875;NS8;4;тб1_с1_э4;1.4.3
0С;33.20625;NS8;4;тб1_с1_э4;1.4.4
1С;33.81;NS8;4;тб1_с1_э4;1.4.5
0С;22.33875;NS8;4;тб1_с1_э4;1.4.6
1С;50.507999999999996;NS8;4;тб1_с1_э4;1.4.7
1С;44.6775;NS8;4;тб1_с1_э4;1.4.8
2С;67.01625;NS8;5;тб1_с1_э5;1.5.1
2С;50.507999999999996;NS8;5;тб1_с1_э5;1.5.2
0С;22.33875;NS8;5;тб1_с1_э5;1.5.3
0С;33.20625;NS8;5;тб1_с1_э5;1.5.4
1С;33.81;NS8;5;тб1_с1_э5;1.5.5
0С;22.33875;NS8;5;тб1_с1_э5;1.5.6
1С;50.507999999999996;NS8;5;тб1_с1_э5;1.5.7
1С;44.6775;NS8;5;тб1_с1_э5;1.5.8
2С;67.01625;NS8;6;тб1_с1_э6;1.6.1
2С;50.507999999999996;NS8;6;тб1_с1_э6;1.6.2
0С;22.33875;NS8;6;тб1_с1_э6;1.6.3
0С;33.20625;NS8;6;тб1_с1_э6;1.6.4
1С;33.81;NS8;6;тб1_с1_э6;1.6.5
0С;22.33875;NS8;6;тб1_с1_э6;1.6.6
1С;50.507999999999996;NS8;6;тб1_с1_э6;1.6.7
1С;44.6775;NS8;6;тб1_с1_э6;1.6.8
2С;67.01625;NS8;7;тб1_с1_э7;1.7.1
2С;50.507999999999996;NS8;7;тб1_с1_э7;1.7.2
0С;22.33875;NS8;7;тб1_с1_э7;1.7.3
0С;33.20625;NS8;7;тб1_с1_э7;1.7.4
1С;33.81;NS8;7;тб1_с1_э7;1.7.5
0С;22.33875;NS8;7;тб1_с1_э7;1.7.6
1С;50.507999999999996;NS8;7;тб1_с1_э7;1.7.7
1С;44.6775;NS8;7;тб1_с1_э7;1.7.8
2С;67.01625;NS8;8;тб1_с1_э8;1.8.1
2С;50.507999999999996;NS8;8;тб1_с1_э8;1.8.2
0С;22.33875;NS8;8;тб1_с1_э8;1.8.3
0С;33.20625;NS8;8;тб1_с1_э8;1.8.4
1С;33.81;NS8;8;тб1_с1_э8;1.8.5
