FlatType;Area_m2;Section;FloorNum;StoreyName;FlatNumber
1С;44.6775;NS8;2;тб1_с1_э2;1.2.1
3С;134.11875;NS8;2;тб1_с1_э2;1.2.2
3С;129.11625;NS8;2;тб1_с1_э2;1.2.3
1С;49.68;NS8;2;тб1_с1_э2;1.2.4
1С;44.6775;NS8;3;тб1_с1_э3;1.3.1
3С;134.11875;NS8;3;тб1_с1_э3;1.3.2
3С;129.11625;NS8;3;тб1_с1_э3;1.3.3
1С;49.68;NS8;3;тб1_с1_э3;1.3.4
1С;49.68;NS8;4;тб1_с1_э4;1.4.1
3С;129.11625;NS8;4;тб1_с1_э4;1.4.2
3С;101.775;NS8;4;тб1_с1_э4;1.4.3
2С;77.02125;NS8;4;тб1_с1_э4;1.4.4
1С;49.68;NS8;5;тб1_с1_э5;1.5.1
3С;129.11625;NS8;5;тб1_с1_э5;1.5.2
3С;101.775;NS8;5;тб1_с1_э5;1.5.3
2С;77.02125;NS8;5;тб1_с1_э5;1.5.4
1С;49.68;NS8;6;тб1_с1_э6;1.6.1
3С;129.11625;NS8;6;тб1_с1_э6;1.6.2
3С;101.775;NS8;6;тб1_с1_э6;1.6.3
2С;77.02125;NS8;6;тб1_с1_э6;1.6.4
1С;49.68;NS8;7;тб1_с1_э7;1.7.1
3С;129.11625;NS8;7;тб1_с1_э7;1.7.2
3С;101.775;NS8;7;тб1_с1_э7;1.7.3
2С;77.02125;NS8;7;тб1_с1_э7;1.7.4
3С;110.5725;CN610;2;тб2_с1_э2;2.2.1
2С;94.953125;CN610;2;тб2_с1_э2;2.2.2
1С;50.8875;CN610;2;тб2_с1_э2;2.2.3
0С;38.165625;CN610;2;тб2_с1_э2;2.2.4
1С;63.609375;CN610;2;тб2_с1_э2;2.2.5
2С;76.33125;CN610;2;тб2_с1_э2;2.2.6
1С;54.6825;CN610;2;тб2_с1_э2;2.2.7
1С;44.6775;CN610;2;тб2_с1_э2;2.2.8
0С;33.508125;CN610;2;тб2_с1_э2;2.2.9
3С;110.5725;CN610;3;тб2_с1_э3;2.3.1
2С;94.953125;CN610;3;тб2_с1_э3;2.3.2
1С;63.609375;CN610;3;тб2_с1_э3;2.3.3
0С;38.165625;CN610;3;тб2_с1_э3;2.3.4
2С;76.33125;CN610;3;тб2_с1_э3;2.3.5
2С;83.23125;CN610;3;тб2_с1_э3;2.3.6
1С;44.6775;CN610;3;тб2_с1_э3;2.3.7
1С;55.846875;CN610;3;тб2_с1_э3;2.3.8
3С;110.5725;CN610;4;тб2_с1_э4;2.4.1
2С;94.953125;CN610;4;тб2_с1_э4;2.4.2
1С;63.609375;CN610;4;тб2_с1_э4;2.4.3
0С;38.165625;CN610;4;тб2_с1_э4;2.4.4
2С;76.33125;CN610;4;тб2_с1_э4;2.4.5
2С;83.23125;CN610;4;тб2_с1_э4;2.4.6
1С;44.6775;CN610;4;тб2_с1_э4;2.4.7
1С;55.846875;CN610;4;тб2_с1_э4;2.4.8
3С;110.5725;CN610;5;тб2_с1_э5;2.5.1
2С;94.953125;CN610;5;тб2_с1_э5;2.5.2
1С;63.609375;CN610;5;тб2_с1_э5;2.5.3
0С;38.165625;CN610;5;тб2_с1_э5;2.5.4
2С;76.33125;CN610;5;тб2_с1_э5;2.5.5
2С;83.23125;CN610;5;тб2_с1_э5;2.5.6
1С;44.6775;CN610;5;тб2_с1_э5;2.5.7
1С;55.846875;CN610;5;тб2_с1_э5;2.5.8
3С;110.5725;CN610;6;тб2_с1_э6;2.6.1
2С;94.953125;CN610;6;тб2_с1_э6;2.6.2
1С;63.609375;CN610;6;тб2_с1_э6;2.6.3
0С;38.165625;CN610;6;тб2_с1_э6;2.6.4
2С;76.33125;CN610;6;тб2_с1_э6;2.6.5
2С;83.23125;CN610;6;тб2_с1_э6;2.6.6
1С;44.6775;CN610;6;тб2_с1_э6;2.6.7
1С;55.846875;CN610;6;тб2_с1_э6;2.6.8
3С;110.5725;CN610;7;тб2_с1_э7;2.7.1
2С;94.953125;CN610;7;тб2_с1_э7;2.7.2
1С;63.609375;CN610;7;тб2_с1_э7;2.7.3
0С;38.165625;CN610;7;тб2_с1_э7;2.7.4
2С;76.33125;CN610;7;тб2_с1_э7;2.7.5
2С;83.23125;CN610;7;тб2_с1_э7;2.7.6
1С;44.6775;CN610;7;тб2_с1_э7;2.7.7
1С;55.846875;CN610;7;тб2_с1_э7;2.7.8
3С;110.5725;CN610;8;тб2_с1_э8;2.8.1
2С;94.953125;CN610;8;тб2_с1_э8;2.8.2
1С;63.609375;CN610;8;тб2_с1_э8;2.8.3
0С;38.165625;CN610;8;тб2_с1_э8;2.8.4
2С;76.33125;CN610;8;тб2_с1_э8;2.8.5
2С;83.23125;CN610;8;тб2_с1_э8;2.8.6
1С;44.6775;CN610;8;тб2_с1_э8;2.8.7
1С;55.846875;CN610;8;тб2_с1_э8;2.8.8
3С;110.5725;CN610;9;тб2_с1_э9;2.9.1
2С;94.953125;CN610;9;тб2_с1_э9;2.9.2
1С;63.609375;CN610;9;тб2_с1_э9;2.9.3
0С;38.165625;CN610;9;тб2_с1_э9;2.9.4
2С;76.33125;CN610;9;тб2_с1_э9;2.9.5
2С;83.23125;CN610;9;тб2_с1_э9;2.9.6
1С;44.6775;CN610;9;тб2_с1_э9;2.9.7
1С;55.846875;CN610;9;тб2_с1_э9;2.9.8
2С;78.22875;EW6_1;2;тб2_с2_э2;3.2.1
2С;101.775;EW6_1;2;тб2_с2_э2;3.2.2
2С;77.02125;EW6_1;2;тб2_с2_э2;3.2.3
2С;78.22875;EW6_1;3;тб2_с2_э3;3.3.1
2С;101.775;EW6_1;3;тб2_с2_э3;3.3.2
2С;77.02125;EW6_1;3;тб2_с2_э3;3.3.3
2С;78.22875;EW6_1;4;тб2_с2_э4;3.4.1
2С;101.775;EW6_1;4;тб2_с2_э4;3.4.2
2С;77.02125;EW6_1;4;тб2_с2_э4;3.4.3
2С;78.22875;EW6_1;5;тб2_с2_э5;3.5.1
2С;101.775;EW6_1;5;тб2_с2_э5;3.5.2
2С;77.02125;EW6_1;5;тб2_с2_э5;3.5.3
2С;78.22875;EW6_1;6;тб2_с2_э6;3.6.1
2С;101.775;EW6_1;6;тб2_с2_э6;3.6.2
2С;77.02125;EW6_1;6;тб2_с2_э6;3.6.3
2С;78.22875;EW6_1;7;тб2_с2_э7;3.7.1
2С;101.775;EW6_1;7;тб2_с2_э7;3.7.2
2С;77.02125;EW6_1;7;тб2_с2_э7;3.7.3
2С;78.22875;EW6_1;8;тб2_с2_э8;3.8.1
2С;101.775;EW6_1;8;тб2_с2_э8;3.8.2
2С;77.02125;EW6_1;8;тб2_с2_э8;3.8.3
2С;78.22875;EW6_1;9;тб2_с2_э9;3.9.1
2С;101.775;EW6_1;9;тб2_с2_э9;3.9.2
2С;77.02125;EW6_1;9;тб2_с2_э9;3.9.3
3С;110.5725;CN610;2;тб3_с1_э2;4.2.1
2С;94.953125;CN610;2;тб3_с1_э2;4.2.2
1С;50.8875;CN610;2;тб3_с1_э2;4.2.3
0С;38.165625;CN610;2;тб3_с1_э2;4.2.4
1С;63.609375;CN610;2;тб3_с1_э2;4.2.5
2С;76.33125;CN610;2;тб3_с1_э2;4.2.6
1С;54.6825;CN610;2;тб3_с1_э2;4.2.7
1С;44.6775;CN610;2;тб3_с1_э2;4.2.8
0С;33.508125;CN610;2;тб3_с1_э2;4.2.9
3С;104.0175;CN610;3;тб3_с1_э3;4.3.1
2С;75.71562499999999;CN610;3;тб3_с1_э3;4.3.2
1С;60.06450000000001;CN610;3;тб3_с1_э3;4.3.3
0С;43.081875;CN610;3;тб3_с1_э3;4.3.4
1С;61.970625;CN610;3;тб3_с1_э3;4.3.5
2С;88.78575000000001;CN610;3;тб3_с1_э3;4.3.6
1С;54.6825;CN610;3;тб3_с1_э3;4.3.7
1С;44.6775;CN610;3;тб3_с1_э3;4.3.8
0С;33.508125;CN610;3;тб3_с1_э3;4.3.9
3С;110.5725;CN610;4;тб3_с1_э4;4.4.1
2С;94.953125;CN610;4;тб3_с1_э4;4.4.2
1С;63.609375;CN610;4;тб3_с1_э4;4.4.3
0С;38.165625;CN610;4;тб3_с1_э4;4.4.4
2С;76.33125;CN610;4;тб3_с1_э4;4.4.5
2С;83.23125;CN610;4;тб3_с1_э4;4.4.6
1С;44.6775;CN610;4;тб3_с1_э4;4.4.7
1С;55.846875;CN610;4;тб3_с1_э4;4.4.8
3С;113.85000000000001;CN610;5;тб3_с1_э5;4.5.1
2С;94.725125;CN610;5;тб3_с1_э5;4.5.2
1С;57.05437499999999;CN610;5;тб3_с1_э5;4.5.3
0С;41.443124999999995;CN610;5;тб3_с1_э5;4.5.4
2С;85.50825;CN610;5;тб3_с1_э5;4.5.5
2С;76.67625;CN610;5;тб3_с1_э5;4.5.6
1С;44.6775;CN610;5;тб3_с1_э5;4.5.7
1С;55.846875;CN610;5;тб3_с1_э5;4.5.8
3С;110.5725;CN610;6;тб3_с1_э6;4.6.1
2С;94.953125;CN610;6;тб3_с1_э6;4.6.2
1С;63.609375;CN610;6;тб3_с1_э6;4.6.3
0С;38.165625;CN610;6;тб3_с1_э6;4.6.4
2С;76.33125;CN610;6;тб3_с1_э6;4.6.5
2С;83.23125;CN610;6;тб3_с1_э6;4.6.6
1С;44.6775;CN610;6;тб3_с1_э6;4.6.7
1С;55.846875;CN610;6;тб3_с1_э6;4.6.8
3С;113.85000000000001;CN610;7;тб3_с1_э7;4.7.1
2С;94.725125;CN610;7;тб3_с1_э7;4.7.2
1С;68.525625;CN610;7;тб3_с1_э7;4.7.3
0С;45.703875;CN610;7;тб3_с1_э7;4.7.4
2С;82.88625;CN610;7;тб3_с1_э7;4.7.5
2С;76.67625;CN610;7;тб3_с1_э7;4.7.6
1С;44.6775;CN610;7;тб3_с1_э7;4.7.7
1С;55.846875;CN610;7;тб3_с1_э7;4.7.8
3С;110.5725;CN610;8;тб3_с1_э8;4.8.1
2С;94.953125;CN610;8;тб3_с1_э8;4.8.2
1С;63.609375;CN610;8;тб3_с1_э8;4.8.3
0С;38.165625;CN610;8;тб3_с1_э8;4.8.4
2С;76.33125;CN610;8;тб3_с1_э8;4.8.5
2С;83.23125;CN610;8;тб3_с1_э8;4.8.6
1С;44.6775;CN610;8;тб3_с1_э8;4.8.7
1С;55.846875;CN610;8;тб3_с1_э8;4.8.8
3С;102.22350000000002;CN610;9;тб3_с1_э9;4.9.1
2С;70.45062500000003;CN610;9;тб3_с1_э9;4.9.2
1С;53.173125;CN610;9;тб3_с1_э9;4.9.3
0С;31.903874999999996;CN610;9;тб3_с1_э9;4.9.4
2С;63.807750000000006;CN610;9;тб3_с1_э9;4.9.5
2С;74.88225000000001;CN610;9;тб3_с1_э9;4.9.6
1С;44.6775;CN610;9;тб3_с1_э9;4.9.7
1С;55.846875;CN610;9;тб3_с1_э9;4.9.8
1С;44.6775;NS8;2;тб4_с1_э2;5.2.1
3С;134.11875;NS8;2;тб4_с1_э2;5.2.2
3С;129.11625;NS8;2;тб4_с1_э2;5.2.3
1С;49.68;NS8;2;тб4_с1_э2;5.2.4
1С;44.6775;NS8;3;тб4_с1_э3;5.3.1
3С;124.28625;NS8;3;тб4_с1_э3;5.3.2
3С;116.00625;NS8;3;тб4_с1_э3;5.3.3
1С;49.68;NS8;3;тб4_с1_э3;5.3.4
1С;49.68;NS8;4;тб4_с1_э4;5.4.1
3С;129.11625;NS8;4;тб4_с1_э4;5.4.2
3С;101.775;NS8;4;тб4_с1_э4;5.4.3
2С;77.02125;NS8;4;тб4_с1_э4;5.4.4
1С;49.68;NS8;5;тб4_с1_э5;5.5.1
3С;129.11625;NS8;5;тб4_с1_э5;5.5.2
3С;101.775;NS8;5;тб4_с1_э5;5.5.3
2С;77.02125;NS8;5;тб4_с1_э5;5.5.4
1С;49.68;NS8;6;тб4_с1_э6;5.6.1
3С;129.11625;NS8;6;тб4_с1_э6;5.6.2
3С;101.775;NS8;6;тб4_с1_э6;5.6.3
2С;77.02125;NS8;6;тб4_с1_э6;5.6.4
1С;49.68;NS8;7;тб4_с1_э7;5.7.1
3С;112.41825000000003;NS8;7;тб4_с1_э7;5.7.2
3С;85.07700000000003;NS8;7;тб4_с1_э7;5.7.3
2С;77.02125;NS8;7;тб4_с1_э7;5.7.4
