FlatType;Area_m2;Section;FloorNum;StoreyName;FlatNumber
2С;54.422375;50TS48;10;тб1_с1_э10;1.10.1
2С;59.4375;50TS48;10;тб1_с1_э10;1.10.2
1С;33.508125;50TS48;10;тб1_с1_э10;1.10.3
1С;33.508125;50TS48;10;тб1_с1_э10;1.10.4
2С;72.01875;50TS48;10;тб1_с1_э10;1.10.5
2С;67.01625;50TS48;10;тб1_с1_э10;1.10.6
2С;54.422375;50TS48;11;тб1_с1_э11;1.11.1
2С;59.4375;50TS48;11;тб1_с1_э11;1.11.2
1С;33.508125;50TS48;11;тб1_с1_э11;1.11.3
1С;33.508125;50TS48;11;тб1_с1_э11;1.11.4
2С;72.01875;50TS48;11;тб1_с1_э11;1.11.5
2С;67.01625;50TS48;11;тб1_с1_э11;1.11.6
2С;54.422375;50TS48;12;тб1_с1_э12;1.12.1
2С;59.4375;50TS48;12;тб1_с1_э12;1.12.2
1С;33.508125;50TS48;12;тб1_с1_э12;1.12.3
1С;33.508125;50TS48;12;тб1_с1_э12;1.12.4
2С;72.01875;50TS48;12;тб1_с1_э12;1.12.5
2С;67.01625;50TS48;12;тб1_с1_э12;1.12.6
2С;54.422375;50TS48;13;тб1_с1_э13;1.13.1
2С;59.4375;50TS48;13;тб1_с1_э13;1.13.2
1С;33.508125;50TS48;13;тб1_с1_э13;1.13.3
1С;33.508125;50TS48;13;тб1_с1_э13;1.13.4
2С;72.01875;50TS48;13;тб1_с1_э13;1.13.5
2С;67.01625;50TS48;13;тб1_с1_э13;1.13.6
2С;54.422375;50TS48;14;тб1_с1_э14;1.14.1
2С;59.4375;50TS48;14;тб1_с1_э14;1.14.2
1С;33.508125;50TS48;14;тб1_с1_э14;1.14.3
1С;33.508125;50TS48;14;тб1_с1_э14;1.14.4
2С;72.01875;50TS48;14;тб1_с1_э14;1.14.5
2С;67.01625;50TS48;14;тб1_с1_э14;1.14.6
2С;54.422375;50TS48;15;тб1_с1_э15;1.15.1
2С;59.4375;50TS48;15;тб1_с1_э15;1.15.2
1С;33.508125;50TS48;15;тб1_с1_э15;1.15.3
1С;33.508125;50TS48;15;тб1_с1_э15;1.15.4
2С;72.01875;50TS48;15;тб1_с1_э15;1.15.5
2С;67.01625;50TS48;15;тб1_с1_э15;1.15.6
2С;54.422375;50TS48;16;тб1_с1_э16;1.16.1
2С;59.4375;50TS48;16;тб1_с1_э16;1.16.2
1С;33.508125;50TS48;16;тб1_с1_э16;1.16.3
1С;33.508125;50TS48;16;тб1_с1_э16;1.16.4
2С;72.01875;50TS48;16;тб1_с1_э16;1.16.5
2С;67.01625;50TS48;16;тб1_с1_э16;1.16.6
3С;91.521125;50TS48;2;тб1_с1_э2;1.2.1
2С;67.01625;50TS48;2;тб1_с1_э2;1.2.2
0С;33.508125;50TS48;2;тб1_с1_э2;1.2.3
1С;55.846875;50TS48;2;тб1_с1_э2;1.2.4
2С;77.02125;50TS48;2;тб1_с1_э2;1.2.5
3С;91.521125;50TS48;3;тб1_с1_э3;1.3.1
1С;55.846875;50TS48;3;тб1_с1_э3;1.3.2
0С;33.508125;50TS48;3;тб1_с1_э3;1.3.3
1С;44.6775;50TS48;3;тб1_с1_э3;1.3.4
3С;99.36;50TS48;3;тб1_с1_э3;1.3.5
3С;91.521125;50TS48;4;тб1_с1_э4;1.4.1
1С;55.846875;50TS48;4;тб1_с1_э4;1.4.2
0С;33.508125;50TS48;4;тб1_с1_э4;1.4.3
1С;44.6775;50TS48;4;тб1_с1_э4;1.4.4
3С;99.36;50TS48;4;тб1_с1_э4;1.4.5
3С;91.521125;50TS48;5;тб1_с1_э5;1.5.1
1С;55.846875;50TS48;5;тб1_с1_э5;1.5.2
0С;33.508125;50TS48;5;тб1_с1_э5;1.5.3
1С;44.6775;50TS48;5;тб1_с1_э5;1.5.4
3С;99.36;50TS48;5;тб1_с1_э5;1.5.5
3С;91.521125;50TS48;6;тб1_с1_э6;1.6.1
1С;55.846875;50TS48;6;тб1_с1_э6;1.6.2
0С;33.508125;50TS48;6;тб1_с1_э6;1.6.3
1С;44.6775;50TS48;6;тб1_с1_э6;1.6.4
3С;99.36;50TS48;6;тб1_с1_э6;1.6.5
3С;91.521125;50TS48;7;тб1_с1_э7;1.7.1
1С;55.846875;50TS48;7;тб1_с1_э7;1.7.2
0С;33.508125;50TS48;7;тб1_с1_э7;1.7.3
1С;44.6775;50TS48;7;тб1_с1_э7;1.7.4
3С;99.36;50TS48;7;тб1_с1_э7;1.7.5
