FlatType;Area_m2;Section;FloorNum;StoreyName;FlatNumber
2С;82.02375;CN610;2;тб1_с1_э2;1.2.1
0С;33.508125;CN610;2;тб1_с1_э2;1.2.10
3С;99.876875;CN610;2;тб1_с1_э2;1.2.2
0С;33.20625;CN610;2;тб1_с1_э2;1.2.3
1С;33.81;CN610;2;тб1_с1_э2;1.2.4
0С;33.20625;CN610;2;тб1_с1_э2;1.2.5
1С;33.81;CN610;2;тб1_с1_э2;1.2.6
1С;44.6775;CN610;2;тб1_с1_э2;1.2.7
2С;77.02125;CN610;2;тб1_с1_э2;1.2.8
1С;44.6775;CN610;2;тб1_с1_э2;1.2.9
2С;82.02375;CN610;3;тб1_с1_э3;1.3.1
0С;33.508125;CN610;3;тб1_с1_э3;1.3.10
3С;99.876875;CN610;3;тб1_с1_э3;1.3.2
0С;33.20625;CN610;3;тб1_с1_э3;1.3.3
1С;33.81;CN610;3;тб1_с1_э3;1.3.4
0С;33.20625;CN610;3;тб1_с1_э3;1.3.5
1С;33.81;CN610;3;тб1_с1_э3;1.3.6
1С;44.6775;CN610;3;тб1_с1_э3;1.3.7
2С;77.02125;CN610;3;тб1_с1_э3;1.3.8
1С;44.6775;CN610;3;тб1_с1_э3;1.3.9
2С;82.02375;CN610;4;тб1_с1_э4;1.4.1
0С;33.508125;CN610;4;тб1_с1_э4;1.4.10
3С;99.876875;CN610;4;тб1_с1_э4;1.4.2
0С;33.20625;CN610;4;тб1_с1_э4;1.4.3
1С;33.81;CN610;4;тб1_с1_э4;1.4.4
0С;33.20625;CN610;4;тб1_с1_э4;1.4.5
1С;33.81;CN610;4;тб1_с1_э4;1.4.6
1С;44.6775;CN610;4;тб1_с1_э4;1.4.7
2С;77.02125;CN610;4;тб1_с1_э4;1.4.8
1С;44.6775;CN610;4;тб1_с1_э4;1.4.9
2С;82.02375;CN610;5;тб1_с1_э5;1.5.1
0С;33.508125;CN610;5;тб1_с1_э5;1.5.10
3С;99.876875;CN610;5;тб1_с1_э5;1.5.2
0С;33.20625;CN610;5;тб1_с1_э5;1.5.3
1С;33.81;CN610;5;тб1_с1_э5;1.5.4
0С;33.20625;CN610;5;тб1_с1_э5;1.5.5
1С;33.81;CN610;5;тб1_с1_э5;1.5.6
1С;44.6775;CN610;5;тб1_с1_э5;1.5.7
2С;77.02125;CN610;5;тб1_с1_э5;1.5.8
1С;44.6775;CN610;5;тб1_с1_э5;1.5.9
2С;82.02375;CN610;6;тб1_с1_э6;1.6.1
0С;33.508125;CN610;6;тб1_с1_э6;1.6.10
3С;99.876875;CN610;6;тб1_с1_э6;1.6.2
0С;33.20625;CN610;6;тб1_с1_э6;1.6.3
1С;33.81;CN610;6;тб1_с1_э6;1.6.4
0С;33.20625;CN610;6;тб1_с1_э6;1.6.5
1С;33.81;CN610;6;тб1_с1_э6;1.6.6
1С;44.6775;CN610;6;тб1_с1_э6;1.6.7
2С;77.02125;CN610;6;тб1_с1_э6;1.6.8
1С;44.6775;CN610;6;тб1_с1_э6;1.6.9
2С;82.02375;CN610;7;тб1_с1_э7;1.7.1
0С;33.508125;CN610;7;тб1_с1_э7;1.7.10
3С;99.876875;CN610;7;тб1_с1_э7;1.7.2
0С;33.20625;CN610;7;тб1_с1_э7;1.7.3
1С;33.81;CN610;7;тб1_с1_э7;1.7.4
0С;33.20625;CN610;7;тб1_с1_э7;1.7.5
1С;33.81;CN610;7;тб1_с1_э7;1.7.6
1С;44.6775;CN610;7;тб1_с1_э7;1.7.7
2С;77.02125;CN610;7;тб1_с1_э7;1.7.8
1С;44.6775;CN610;7;тб1_с1_э7;1.7.9
2С;82.02375;CN610;8;тб1_с1_э8;1.8.1
0С;33.508125;CN610;8;тб1_с1_э8;1.8.10
3С;99.876875;CN610;8;тб1_с1_э8;1.8.2
0С;33.20625;CN610;8;тб1_с1_э8;1.8.3
1С;33.81;CN610;8;тб1_с1_э8;1.8.4
0С;33.20625;CN610;8;тб1_с1_э8;1.8.5
1С;33.81;CN610;8;тб1_с1_э8;1.8.6
1С;44.6775;CN610;8;тб1_с1_э8;1.8.7
2С;77.02125;CN610;8;тб1_с1_э8;1.8.8
1С;44.6775;CN610;8;тб1_с1_э8;1.8.9
2С;77.84925000000001;CN610;9;тб1_с1_э9;1.9.1
0С;33.508125;CN610;9;тб1_с1_э9;1.9.10
3С;91.52787500000001;CN610;9;тб1_с1_э9;1.9.2
0С;33.20625;CN610;9;тб1_с1_э9;1.9.3
1С;33.81;CN610;9;тб1_с1_э9;1.9.4
0С;33.20625;CN610;9;тб1_с1_э9;1.9.5
1С;25.461;CN610;9;тб1_с1_э9;1.9.6
1С;36.3285;CN610;9;тб1_с1_э9;1.9.7
2С;72.84675;CN610;9;тб1_с1_э9;1.9.8
1С;44.6775;CN610;9;тб1_с1_э9;1.9.9
2С;83.410625;CS48;2;тб2_с1_э2;2.2.1
1С;48.19375;CS48;2;тб2_с1_э2;2.2.2
1С;44.6775;CS48;2;тб2_с1_э2;2.2.3
2С;67.01625;CS48;2;тб2_с1_э2;2.2.4
2С;88.190625;CS48;2;тб2_с1_э2;2.2.5
2С;83.410625;CS48;3;тб2_с1_э3;2.3.1
1С;48.19375;CS48;3;тб2_с1_э3;2.3.2
1С;44.6775;CS48;3;тб2_с1_э3;2.3.3
2С;67.01625;CS48;3;тб2_с1_э3;2.3.4
2С;88.190625;CS48;3;тб2_с1_э3;2.3.5
2С;83.410625;CS48;4;тб2_с1_э4;2.4.1
1С;48.19375;CS48;4;тб2_с1_э4;2.4.2
1С;44.6775;CS48;4;тб2_с1_э4;2.4.3
2С;67.01625;CS48;4;тб2_с1_э4;2.4.4
2С;88.190625;CS48;4;тб2_с1_э4;2.4.5
2С;83.410625;CS48;5;тб2_с1_э5;2.5.1
1С;48.19375;CS48;5;тб2_с1_э5;2.5.2
1С;44.6775;CS48;5;тб2_с1_э5;2.5.3
2С;67.01625;CS48;5;тб2_с1_э5;2.5.4
2С;88.190625;CS48;5;тб2_с1_э5;2.5.5
2С;83.410625;CS48;6;тб2_с1_э6;2.6.1
1С;48.19375;CS48;6;тб2_с1_э6;2.6.2
1С;44.6775;CS48;6;тб2_с1_э6;2.6.3
2С;67.01625;CS48;6;тб2_с1_э6;2.6.4
2С;88.190625;CS48;6;тб2_с1_э6;2.6.5
2С;83.410625;CS48;7;тб2_с1_э7;2.7.1
1С;48.19375;CS48;7;тб2_с1_э7;2.7.2
1С;44.6775;CS48;7;тб2_с1_э7;2.7.3
2С;67.01625;CS48;7;тб2_с1_э7;2.7.4
2С;88.190625;CS48;7;тб2_с1_э7;2.7.5
2С;69.43512500000001;CS48;8;тб2_с1_э8;2.8.1
1С;39.84475;CS48;8;тб2_с1_э8;2.8.2
1С;40.503;CS48;8;тб2_с1_э8;2.8.3
2С;67.01625;CS48;8;тб2_с1_э8;2.8.4
2С;88.190625;CS48;8;тб2_с1_э8;2.8.5
2С;77.02125;EW8_2;2;тб2_с2_э2;3.2.1
2С;56.14875;EW8_2;2;тб2_с2_э2;3.2.2
0С;33.20625;EW8_2;2;тб2_с2_э2;3.2.3
1С;44.6775;EW8_2;2;тб2_с2_э2;3.2.4
3С;121.69875;EW8_2;2;тб2_с2_э2;3.2.5
